time,outdoor_temp_C,global_irradiance_W_m2,effective_outdoor_temp_C,room_air_setpoint_C,dynamic_heating_balance_temp_C,is_night_setback,heating_degree_K,heat_loss_indicator_kW,usable_solar_gain_kW,space_user_modifier,dhw_user_modifier,is_vacation,space_heating_load_kW,dhw_load_kW,total_heat_load_kW
2025-06-30 14:00:00,25.7,775.0,22.794917619505203,20.0,15.0,0,0.0,0.0,179.19014781656233,1.0,1.0,0,1.1175271553928327e-88,11.85602050466136,11.85602050466136
2025-06-30 15:00:00,26.3,665.0,23.57023909734087,20.0,15.0,0,0.0,0.0,181.19804845699005,1.0,1.0,0,7.491008542490007e-89,8.406255345523716,8.406255345523716
2025-06-30 16:00:00,27.0,520.0,24.32889952326138,20.0,15.0,0,0.0,0.0,176.46169192184027,1.0,1.0,0,5.0213731910552685e-89,8.294389088584468,8.294389088584468
2025-06-30 17:00:00,27.1,367.0,24.94186477874642,20.0,15.0,0,0.0,0.0,165.66135485779938,1.0,1.0,0,3.3659271085902926e-89,12.46592348127127,12.46592348127127
2025-06-30 18:00:00,27.0,212.0,25.397122678020875,20.0,15.0,0,0.0,0.0,149.63919657550903,1.0,1.0,0,2.2562484143828515e-89,19.832289461497762,19.832289461497762
2025-06-30 19:00:00,25.5,74.0,25.41987906108237,20.0,15.0,0,0.0,0.0,129.9514284851545,1.0,1.0,0,1.5124085409969515e-89,26.788244388014427,26.788244388014427
2025-06-30 20:00:00,22.8,1.0,24.840363864323326,20.0,15.0,0,0.0,0.0,110.04589559633817,1.0,1.0,0,1.0137977628257708e-89,28.788412624778935,28.788412624778935
2025-06-30 21:00:00,20.8,0.0,23.946638541428417,20.0,15.0,0,0.0,0.0,93.15183952152077,1.0,1.0,0,6.795689630481987e-90,24.355505976241485,24.355505976241485
2025-06-30 22:00:00,20.1,0.0,23.095765108257098,20.0,15.0,0,0.0,0.0,78.85132979491058,1.0,1.0,0,4.555286985948603e-90,16.57585938659561,16.57585938659561
2025-06-30 23:00:00,20.5,0.0,22.521583898980058,20.0,15.0,0,0.0,0.0,66.74620965471459,1.0,1.0,0,3.053500182126616e-90,9.763829652007148,9.763829652007148
2025-07-01 00:00:00,20.5,0.0,22.074411123570215,20.0,15.0,0,0.0,0.0,56.499446678433365,1.0,1.0,0,2.0468223826529463e-90,3.641243537315576,3.641243537315576
2025-07-01 01:00:00,19.4,0.0,21.482833477291358,20.0,15.0,0,0.0,0.0,47.825749079725554,1.0,1.0,0,1.3720260737667e-90,3.6412792798178724,3.6412792798178724
2025-07-01 02:00:00,19.0,0.0,20.93363265635041,20.0,15.0,0,0.0,0.0,40.48362257519179,1.0,1.0,0,9.196965809293918e-91,3.643547413273645,3.643547413273645
2025-07-01 03:00:00,18.2,0.0,20.328955253395264,20.0,15.0,0,0.0,0.0,34.26864666726895,1.0,1.0,0,6.164910544674102e-91,3.710467670513826,3.710467670513826
2025-07-01 04:00:00,18.5,43.0,19.924391783546792,20.0,15.0,0,0.0,0.0,30.916392330264575,1.0,1.0,0,4.1324631201115407e-91,4.617656316705069,4.617656316705069
2025-07-01 05:00:00,20.1,175.0,19.96323618351247,20.0,15.0,0,0.0,0.0,33.93775664654422,1.0,1.0,0,2.77007286891375e-91,10.107525325524076,10.107525325524076
2025-07-01 06:00:00,22.3,327.0,20.48012650986659,20.0,15.0,0,0.0,0.0,43.241997878756656,1.0,1.0,0,1.8568353730123406e-91,23.752842167053664,23.752842167053664
2025-07-01 07:00:00,24.4,480.0,21.34719945634326,20.0,15.0,0,0.0,0.0,57.908965860268594,1.0,1.0,0,1.2446739727182357e-91,33.07540546238968,33.07540546238968
2025-07-01 08:00:00,26.2,626.0,22.420635136510796,20.0,15.0,0,0.0,0.0,76.80468020906754,1.0,1.0,0,8.343299146918498e-92,24.275679595530505,24.275679595530505
2025-07-01 09:00:00,27.2,746.0,23.47782690173065,20.0,15.0,0,0.0,0.0,98.1259083111148,1.0,1.0,0,5.592680668251518e-92,12.104446876248792,12.104446876248792
2025-07-01 10:00:00,27.8,833.0,24.43388820649767,20.0,15.0,0,0.0,0.0,120.03554289132279,1.0,1.0,0,3.7488859630049875e-92,9.8827932982525,9.8827932982525
2025-07-01 11:00:00,29.1,882.0,25.466028481321672,20.0,15.0,0,0.0,0.0,140.75657491353985,1.0,1.0,0,2.5129534113038652e-92,13.526424673912048,13.526424673912048
2025-07-01 12:00:00,29.3,889.0,26.314099978979858,20.0,15.0,0,0.0,0.0,158.60725366279686,1.0,1.0,0,1.684483046350624e-92,16.594862763245526,16.594862763245526
2025-07-01 13:00:00,31.0,849.0,27.3506173942352,20.0,15.0,0,0.0,0.0,171.9420765919243,1.0,1.0,0,1.1291427531760041e-92,15.76328242728862,15.76328242728862
2025-07-01 14:00:00,31.9,770.0,28.356937264138946,20.0,15.0,0,0.0,0.0,179.72324594828459,1.0,1.0,0,7.568870222897476e-93,11.85602050466136,11.85602050466136
2025-07-01 15:00:00,32.7,658.0,29.317619340383175,20.0,15.0,0,0.0,0.0,181.3386024614892,1.0,1.0,0,5.073565436250416e-93,8.406255345523716,8.406255345523716
2025-07-01 16:00:00,33.2,513.0,30.176398902109142,20.0,15.0,0,0.0,0.0,176.26996449643192,1.0,1.0,0,3.400912616792207e-93,8.294389088584468,8.294389088584468
2025-07-01 17:00:00,33.7,361.0,30.955816705731337,20.0,15.0,0,0.0,0.0,165.23274353467912,1.0,1.0,0,2.279699901851339e-93,12.46592348127127,12.46592348127127
2025-07-01 18:00:00,32.9,209.0,31.385868527989224,20.0,15.0,0,0.0,0.0,149.14322614273064,1.0,1.0,0,1.5281285431564318e-93,19.832289461497762,19.832289461497762
2025-07-01 19:00:00,30.5,71.0,31.18991510329632,20.0,15.0,0,0.0,0.0,129.39843979704563,1.0,1.0,0,1.024335195396994e-93,26.788244388014427,26.788244388014427
2025-07-01 20:00:00,27.9,1.0,30.462188458685617,20.0,15.0,0,0.0,0.0,109.57780077778277,1.0,1.0,0,6.866324153344387e-94,28.788412624778935,28.788412624778935
2025-07-01 21:00:00,26.8,0.0,29.652115239379423,20.0,15.0,0,0.0,0.0,92.75560581209764,1.0,1.0,0,4.602634722565431e-94,24.355505976241485,24.355505976241485
2025-07-01 22:00:00,25.8,0.0,28.800030364909986,20.0,15.0,0,0.0,0.0,78.51592520109828,1.0,1.0,0,3.085238319115292e-94,16.57585938659561,16.57585938659561
2025-07-01 23:00:00,24.7,0.0,27.893106858808437,20.0,15.0,0,0.0,0.0,66.46229579560811,1.0,1.0,0,2.0680970921002813e-94,9.763829652007148,9.763829652007148
2025-07-02 00:00:00,24.9,0.0,27.231033965456405,20.0,15.0,0,0.0,0.0,56.25911878525657,1.0,1.0,0,1.3862869379828321e-94,3.641243537315576,3.641243537315576
2025-07-02 01:00:00,23.5,0.0,26.405732173963457,20.0,15.0,0,0.0,0.0,47.62231591016993,1.0,1.0,0,9.292559240872576e-95,3.6412792798178724,3.6412792798178724
2025-07-02 02:00:00,23.0,0.0,25.65238688401422,20.0,15.0,0,0.0,0.0,40.31142011492638,1.0,1.0,0,6.22898873813061e-95,3.643547413273645,3.643547413273645
2025-07-02 03:00:00,23.2,0.0,25.109920825664318,20.0,15.0,0,0.0,0.0,34.12288043167308,1.0,1.0,0,4.17541601769919e-95,3.710467670513826,3.710467670513826
2025-07-02 04:00:00,23.0,42.0,24.643207991246037,20.0,15.0,0,0.0,0.0,30.748617615501274,1.0,1.0,0,2.7988650572020667e-95,4.617656316705069,4.617656316705069
2025-07-02 05:00:00,24.8,172.0,24.677890260803075,20.0,15.0,0,0.0,0.0,33.66257963592246,1.0,1.0,0,1.8761353539912317e-95,10.107525325524076,10.107525325524076
2025-07-02 06:00:00,27.0,324.0,25.1915391167357,20.0,15.0,0,0.0,0.0,42.87590678747942,1.0,1.0,0,1.2576111368564929e-95,23.752842167053664,23.752842167053664
2025-07-02 07:00:00,29.6,479.0,26.166687211974107,20.0,15.0,0,0.0,0.0,57.554690181631855,1.0,1.0,0,8.430019551525771e-96,33.07540546238968,33.07540546238968
2025-07-02 08:00:00,31.4,623.0,27.324291902627838,20.0,15.0,0,0.0,0.0,76.37163354085243,1.0,1.0,0,5.650811093860095e-96,24.275679595530505,24.275679595530505
2025-07-02 09:00:00,33.2,745.0,28.623993932667567,20.0,15.0,0,0.0,0.0,97.71495596022064,1.0,1.0,0,3.787851952575e-96,12.104446876248792,12.104446876248792
2025-07-02 10:00:00,33.8,833.0,29.76892242157916,20.0,15.0,0,0.0,0.0,119.68767923649006,1.0,1.0,0,2.5390730952262607e-96,9.8827932982525,9.8827932982525
2025-07-02 11:00:00,34.5,881.0,30.81543307715428,20.0,15.0,0,0.0,0.0,140.417728426745,1.0,1.0,0,1.7019915940799203e-96,13.526424673912048,13.526424673912048
2025-07-02 12:00:00,35.2,886.0,31.785295847058777,20.0,15.0,0,0.0,0.0,158.18726752350574,1.0,1.0,0,1.1408790836959234e-96,16.594862763245526,16.594862763245526
2025-07-02 13:00:00,36.7,846.0,32.872424557125086,20.0,15.0,0,0.0,0.0,171.45340721963112,1.0,1.0,0,7.647541199041492e-97,15.76328242728862,15.76328242728862
2025-07-02 14:00:00,37.6,766.0,33.91816054305988,20.0,15.0,0,0.0,0.0,179.13205121422345,1.0,1.0,0,5.126300168600942e-97,11.85602050466136,11.85602050466136
2025-07-02 15:00:00,37.4,653.0,34.688340704406116,20.0,15.0,0,0.0,0.0,180.61623562212839,1.0,1.0,0,3.436261765009089e-97,8.406255345523716,8.406255345523716
2025-07-02 16:00:00,38.1,507.0,35.442997069018645,20.0,15.0,0,0.0,0.0,175.39217660689422,1.0,1.0,0,2.3033951445114001e-97,8.294389088584468,8.294389088584468
2025-07-02 17:00:00,38.1,353.0,36.03072403672871,20.0,15.0,0,0.0,0.0,164.13462204605275,1.0,1.0,0,1.5440119393071497e-97,12.46592348127127,12.46592348127127
2025-07-02 18:00:00,37.5,202.0,36.355726729256325,20.0,15.0,0,0.0,0.0,147.90298254932168,1.0,1.0,0,1.0349821542359455e-97,19.832289461497762,19.832289461497762
2025-07-02 19:00:00,35.9,69.0,36.254920333611395,20.0,15.0,0,0.0,0.0,128.2598237403617,1.0,1.0,0,6.937692852735041e-98,26.788244388014427,26.788244388014427
2025-07-02 20:00:00,33.4,2.0,35.62341419142303,20.0,15.0,0,0.0,0.0,108.6583693543581,1.0,1.0,0,4.6504745924264786e-98,28.788412624778935,28.788412624778935
